Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year
0 days 01:04:48.012000,VER,1,0 days 00:02:03.282000,1.0,1.0,,,,0 days 00:00:55.474000,0 days 00:00:31.348000,,0 days 01:04:16.765000,0 days 01:04:48.065000,339.0,173.0,209.0,293.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:44.500000,2022-08-28 13:03:44.580,12,8.0,False,,False,False,2022
0 days 01:07:07.529000,VER,1,0 days 00:02:19.517000,2.0,1.0,,,0 days 00:00:32.009000,0 days 00:01:04.504000,0 days 00:00:43.004000,0 days 01:05:20.074000,0 days 01:06:24.578000,0 days 01:07:07.582000,321.0,143.0,163.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:48.012000,2022-08-28 13:05:48.092,124,8.0,False,,False,False,2022
0 days 01:10:11.554000,VER,1,,3.0,1.0,,,0 days 00:00:47.227000,0 days 00:01:23.243000,0 days 00:00:53.575000,0 days 01:07:54.789000,0 days 01:09:18.074000,0 days 01:10:11.678000,213.0,109.0,132.0,287.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:07.529000,2022-08-28 13:08:07.609,4,8.0,False,,False,False,2022
0 days 01:13:08.004000,VER,1,,4.0,1.0,,,0 days 00:00:48.681000,0 days 00:01:18.407000,0 days 00:00:49.372000,0 days 01:11:00.371000,0 days 01:12:18.781000,0 days 01:13:08.213000,149.0,85.0,214.0,278.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:10:11.554000,2022-08-28 13:11:11.634,41,8.0,False,,False,False,2022
0 days 01:15:01.955000,VER,1,0 days 00:01:53.951000,5.0,1.0,,,0 days 00:00:32.124000,0 days 00:00:51.490000,0 days 00:00:30.337000,0 days 01:13:40.181000,0 days 01:14:31.671000,0 days 01:15:02.008000,321.0,187.0,209.0,313.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:13:08.004000,2022-08-28 13:14:08.084,1,6.0,False,,False,True,2022
0 days 01:16:55.703000,VER,1,0 days 00:01:53.748000,6.0,1.0,,,0 days 00:00:32.150000,0 days 00:00:51.344000,0 days 00:00:30.254000,0 days 01:15:34.158000,0 days 01:16:25.502000,0 days 01:16:55.756000,323.0,183.0,211.0,311.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:15:01.955000,2022-08-28 13:16:02.035,1,5.0,False,,False,True,2022
0 days 01:18:47.657000,VER,1,0 days 00:01:51.954000,7.0,1.0,,,0 days 00:00:31.671000,0 days 00:00:49.935000,0 days 00:00:30.348000,0 days 01:17:27.427000,0 days 01:18:17.362000,0 days 01:18:47.710000,339.0,188.0,211.0,312.0,True,SOFT,7.0,True,Red Bull Racing,0 days 01:16:55.703000,2022-08-28 13:17:55.783,1,4.0,False,,False,True,2022
0 days 01:20:40.298000,VER,1,0 days 00:01:52.641000,8.0,1.0,,,0 days 00:00:31.665000,0 days 00:00:50.392000,0 days 00:00:30.584000,0 days 01:19:19.375000,0 days 01:20:09.767000,0 days 01:20:40.351000,342.0,187.0,208.0,310.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:18:47.657000,2022-08-28 13:19:47.737,1,3.0,False,,False,True,2022
0 days 01:22:33.830000,VER,1,0 days 00:01:53.532000,9.0,1.0,,,0 days 00:00:32.256000,0 days 00:00:50.630000,0 days 00:00:30.646000,0 days 01:21:12.607000,0 days 01:22:03.237000,0 days 01:22:33.883000,320.0,186.0,209.0,308.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:20:40.298000,2022-08-28 13:21:40.378,1,3.0,False,,False,True,2022
0 days 01:24:27.799000,VER,1,0 days 00:01:53.969000,10.0,1.0,,,0 days 00:00:32.284000,0 days 00:00:50.975000,0 days 00:00:30.710000,0 days 01:23:06.167000,0 days 01:23:57.142000,0 days 01:24:27.852000,320.0,179.0,209.0,311.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:22:33.830000,2022-08-28 13:23:33.910,1,3.0,False,,False,True,2022
